
none
celery
cereals
gluten
wheat
rye
barley
oats
crustaceans
prawns
crab
lobster
eggs
fish
lupin
milk
molluscs
squid
mussels
cockles
whelks
snails
mustard
nuts
peanuts
sesame seeds
soya beans
sulphur dioxide
sulphites
